category,content 
invoice,"
TAX INVOICE
Receipient Information Invoice No: PIC/1 8-1 9/0381 9 Date: 01 -Jun-201 8 GSTIN No. : 06AANC86595E1ZV Due Date: 11-Jun-2018
 Place of Supply
Phone No.:
GSTIN No. : 06ABCFA5229L1ZG

Common Area Facilities 995419 01 -Jun-2018 - 30-Jun-2018 2958.00'35 0.00 10353000
Charge@35/-
103,5300 RATE  Amount Tax, Grand Total, tax inclued,SGST,CGST,Sub Total "
receipt,credit card receipt
medical record," medical chart is a complete record of a patient's key clinical data and medical history, "
receipt,receipt
receipt,"email receipt, receipt, cash receipt, rental receipt"
student record,"Name, Date of birth, age , Fathers name , Mothers name "
contract,"
    Tenure of contract, contracted services 
  Amendment and variation of agreement
   terms ,written terms ,express terms
  "
invoice,"
TAX INVOICE
Receipient Information Invoice No: PIC/1 8-1 9/0381 9 Date: 01 -Jun-201 8 GSTIN No. : 06AANC86595E1ZV Due Date: 11-Jun-2018
 Place of Supply
Phone No.:
GSTIN No. : 06ABCFA5229L1ZG

Common Area Facilities 995419 01 -Jun-2018 - 30-Jun-2018 2958.00'35 0.00 10353000
Charge@35/-
103,5300 RATE  Amount Tax, Grand Total, tax inclued,SGST,CGST,Sub Total "
invoice,"
TAX INVOICE
Receipient Information Invoice No: PIC/1 8-1 9/0381 9 Date: 01 -Jun-201 8 GSTIN No. : 06AANC86595E1ZV Due Date: 11-Jun-2018
 Place of Supply
Phone No.:
GSTIN No. : 06ABCFA5229L1ZG

Common Area Facilities 995419 01 -Jun-2018 - 30-Jun-2018 2958.00'35 0.00 10353000
Charge@35/-
103,5300 RATE  Amount Tax, Grand Total, tax inclued,SGST,CGST,Sub Total "
receipt,"gym receipt, purchase receipt, bill of parcel, unpacking note, packaging slip, shipping list, packing list, packing slip, delivery list, manifest or customer receipt"
receipt," unpacking note, packaging slip, shipping list, packing list, packing slip, delivery list, manifest or customer receipt"
receipt,"packing slip, delivery list, manifest or customer receipt"
medical record," demographics, vital signs, "
medical record," diagnoses, "
medical record,"medications, "
medical record,"treatment plans, progress notes, problems, immunization dates, allergies, radiology images, "
medical record,"and laboratory and test results Doctor, history, patient name ,disease, medication, medicine."
student record,",Grade , Class, Section , Blood group, 
"
student record,"Assistive Devices, Medical Alerts, Medical Problems,"
student record,"Immunizations, Care Plans, Prescriptions,"
student record,"Standing Orders, Exams , Event Types, Insurance, Enrollment, Student Number, Nick name, Identity Number,, Gender, Gurdian Information, Home Phone address , School name"
contract ,"Dispute resolution
    Termination of contract
   "
contract ," End of term arrangements
 "
contract ,"I agree , accept terms and condition Parties, Legal , Law, Obligation"
contract ,",Element, Damages, Contracts, Considerations, Implies ,Lawfull, Breach, consumer , Provision, Acceptance, Terms ,Agreements ,Conditions, Notification , Service , Policy, Availability, Change rules"
contract ,",Acceptance , Terms ,Agreements ,Conditions, Notification ,Service, Policy , Availability , Change rules"
contract ,",Notification ,Service , Policy, Availability, Change rules"